tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
2292,-3.239349,0.039189,1,0.03887592,0,0.0,-3.190141,0.043632,0.313484,1,0.6087,0.3105,0.0808,362.84,0.0000,0.0084,-3.0692,0.0837,38.30
2293,-3.409044,0.033073,1,0.00583000,0,0.0,-3.273735,0.039726,0.288621,0,0.6587,0.2805,0.0609,378.69,0.0000,0.0265,-3.9536,0.0544,39.20
2294,-3.481890,0.030749,1,-0.02005223,0,0.0,-3.327196,0.037407,0.272091,0,0.6869,0.2667,0.0464,385.56,0.0000,0.0095,-5.0273,0.0502,38.80
2295,-3.611385,0.027014,1,-0.01790347,0,0.0,-3.377813,0.035448,0.264303,0,0.7215,0.2389,0.0396,390.46,0.0000,0.0096,-5.0273,0.0502,38.60
2296,-3.709659,0.024486,1,-0.04861573,0,0.0,-3.313947,0.037804,0.263887,0,0.6785,0.2750,0.0465,375.52,0.0000,0.0091,-5.0273,0.0502,38.50
2297,-3.697422,0.024787,1,-0.02072651,0,0.0,-3.358998,0.036042,0.256678,0,0.7050,0.2649,0.0301,376.88,0.0000,0.0089,-5.0273,0.0502,38.90
2298,-3.806146,0.022234,1,0.01253249,0,0.0,-3.416233,0.033966,0.251438,0,0.7395,0.2412,0.0193,377.75,0.0000,0.0118,-5.0273,0.0502,38.90
2299,-3.628759,0.026549,1,0.00625208,0,0.0,-3.477654,0.031913,0.250315,0,0.7535,0.2331,0.0134,377.91,0.0000,0.0193,-5.0273,0.0502,61.00
2300,-3.551520,0.028681,1,0.03086561,0,0.0,-3.472306,0.032052,0.246337,0,0.7479,0.2297,0.0224,374.05,0.0000,0.0073,-5.0273,0.0502,38.70
2301,-3.777781,0.022873,1,-0.04545375,0,0.0,-3.405908,0.034287,0.246969,0,0.7225,0.2474,0.0301,368.67,0.0000,0.0090,-5.0273,0.0502,38.70
2302,-3.623427,0.026691,1,-0.01618333,0,0.0,-3.452826,0.032695,0.245457,0,0.7635,0.2169,0.0196,365.33,0.0000,0.0094,-5.0273,0.0502,38.70
2303,-2.995619,0.050006,1,-0.08740418,0,0.0,-3.165086,0.044515,0.302276,0,0.6008,0.3041,0.0950,325.95,0.0000,0.0378,-5.0273,0.0502,39.60
2304,-3.005719,0.049503,1,-0.06739125,0,0.0,-3.059235,0.050091,0.331962,1,0.5458,0.3193,0.1349,289.46,0.0000,0.0116,-3.0771,0.0827,38.70
2305,-3.086899,0.045643,1,0.06374833,0,0.0,-2.999329,0.053453,0.343737,1,0.5129,0.3407,0.1464,269.51,0.0000,0.0103,-3.0771,0.0827,38.60
2306,-3.474221,0.030986,1,0.00672305,0,0.0,-3.099650,0.047676,0.307445,1,0.5579,0.3554,0.0867,294.71,0.0000,0.0289,-3.0050,0.0851,39.00
