tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
3863,-1.090808,0.335945,2,0.42017784,0,0.0,-0.793561,0.501333,0.228794,0,0.3809,0.3517,0.2674,510.92,0.2674,0.0168,-4.5000,0.1500,195.00
3864,-1.297766,0.273141,2,-0.10996345,0,0.0,-1.144476,0.373027,0.211646,1,0.3350,0.3394,0.3255,506.86,0.3255,0.0258,-4.0000,0.3500,174.10
3865,-1.674895,0.187328,2,-0.06083684,0,0.0,-1.583398,0.252408,0.163502,2,0.2993,0.3271,0.3736,479.05,0.2993,0.0305,-2.5913,0.3829,169.20
3866,-2.489701,0.082935,2,-0.00395568,0,0.0,-2.056255,0.168471,0.125210,2,0.2217,0.3124,0.4660,476.32,0.2217,0.1516,-2.6322,0.3846,200.50
3867,-2.751488,0.063833,2,-0.12907566,0,0.0,-1.936746,0.169401,0.095724,2,0.2659,0.3346,0.3995,489.47,0.2659,0.0216,-2.6690,0.3861,170.60
3868,-3.396387,0.033494,2,-0.03589537,0,0.0,-2.312450,0.120610,0.075122,2,0.2764,0.3279,0.3957,476.61,0.2764,0.0269,-2.7021,0.3829,165.60
3869,-2.919303,0.053971,2,0.02796172,0,0.0,-2.685979,0.084148,0.053936,2,0.2863,0.3234,0.3903,476.70,0.2863,0.0249,-2.7319,0.3846,172.40
3870,-2.346136,0.095738,2,0.19345027,0,0.0,-2.042003,0.148113,0.076100,1,0.3156,0.3484,0.3360,462.84,0.3156,0.0485,-4.0000,0.3500,169.40
3871,-2.159066,0.115433,2,0.12364305,0,0.0,-1.989072,0.153748,0.074143,1,0.3395,0.3518,0.3087,507.70,0.3087,0.0180,-4.0000,0.3500,236.70
3872,-1.936939,0.144145,2,-0.10630707,0,0.0,-2.025921,0.148606,0.072405,1,0.3445,0.3488,0.3067,510.18,0.3067,0.0170,-4.0000,0.3500,196.80
3873,-1.717154,0.179577,2,-0.16934192,0,0.0,-1.851654,0.173825,0.078398,0,0.3563,0.3450,0.2987,510.19,0.2987,0.0195,-4.5000,0.1500,165.80
3874,-2.025157,0.131973,2,0.11672314,0,0.0,-1.907389,0.166402,0.079309,0,0.3544,0.3428,0.3028,511.59,0.3028,0.0167,-4.5000,0.1500,169.10
3875,-2.236072,0.106878,2,-0.00688856,0,0.0,-2.233099,0.129119,0.078768,2,0.2998,0.3399,0.3604,489.99,0.2998,0.0909,-2.8575,0.3826,163.20
3876,-2.580829,0.075711,2,0.05910919,0,0.0,-2.394118,0.107501,0.061132,1,0.3132,0.3444,0.3424,509.07,0.3132,0.0190,-4.0000,0.3500,165.80
3877,-1.918054,0.146893,2,0.18613480,0,0.0,-1.960408,0.157115,0.073626,1,0.3309,0.3515,0.3175,491.28,0.3175,0.0301,-4.0000,0.3500,165.30
3878,-2.332241,0.097078,2,-0.04657368,0,0.0,-2.226581,0.125913,0.069845,1,0.3211,0.3469,0.3320,503.49,0.3211,0.0225,-4.0000,0.3500,166.40
3879,-1.469081,0.230137,2,-0.00264387,0,0.0,-2.589585,0.094279,0.063625,2,0.2541,0.3374,0.4085,479.65,0.2541,0.1370,-2.8031,0.3804,163.70
3880,-0.847429,0.428515,2,0.15720975,0,0.0,-2.082644,0.141253,0.071056,2,0.2811,0.3485,0.3704,439.31,0.2811,0.0317,-2.6399,0.3825,166.40
3881,-1.248092,0.287052,2,0.26509140,0,0.0,-1.671376,0.206603,0.090154,1,0.3105,0.3516,0.3378,488.76,0.3105,0.0320,-3.0000,0.3500,181.50
3882,-1.740838,0.175373,2,0.07683097,0,0.0,-1.884457,0.173810,0.090291,1,0.3121,0.3493,0.3386,507.02,0.3121,0.0203,-3.0000,0.3500,166.90
3883,-1.629648,0.195999,2,0.21524009,0,0.0,-1.654594,0.211817,0.096088,1,0.3329,0.3490,0.3182,504.06,0.3182,0.0212,-2.5000,0.3500,166.70
3884,-1.160135,0.313444,2,-0.59839855,0,0.0,-1.120481,0.359085,0.157682,1,0.3372,0.3427,0.3202,482.20,0.3202,0.0622,-2.5000,0.3500,165.40
3885,-1.537646,0.214886,2,0.06263687,0,0.0,-1.439884,0.277967,0.158436,2,0.3045,0.3391,0.3564,487.83,0.3045,0.0321,-2.6920,0.3865,166.90
3886,-1.378443,0.251971,2,-0.68871892,0,0.0,-0.870751,0.468159,0.221716,0,0.3481,0.3381,0.3138,485.72,0.3138,0.0527,-4.5000,0.1500,168.40
3887,-1.633534,0.195238,2,-0.23138944,0,0.0,-1.032144,0.404545,0.205812,1,0.3329,0.3397,0.3274,509.87,0.3274,0.0178,-2.5000,0.3500,350.30
